Sort,Fill,Table & Column,Type,Key/Index,Typical Values,Comments,Proposed Update,Validated?
1,1,"AddressLinkTable -
LinkID",Integer,Primary Key,"1,2,3...","Link Identification Number, sequentially ordered",,
2,1,"AddressLinkTable -
OwnerType",Integer,,"0,1,3,6","0 = Person (Address of Person Fact from Edit Person Window),
1 = Family (Address of Spouse / Parents from Edit Person Window),
3 = Source (Repository),
6 = Task  (Address or Repository)",,
3,1,"AddressLinkTable -
AddressID",Integer,Foreign Key,"1,2,3...",Links to AddressID in AddressTable,,
4,1,"AddressLinkTable -
OwnerID",Integer,Foreign Key,"1,2,3...","Link based on OwnerType:
0 = PersonTable.PersonID,
1 = FamilyTable.FamilyID,
3 = SourceTable.SourceID,
6 = TaskTable.TaskID",,
5,1,"AddressLinkTable -
AddressNum",Integer,,0,,,
6,1,"AddressLinkTable -
Details",Text,,Blank,Not Implemented,,
7,1,"AddressLinkTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
8,0,"AddressTable -
AddressID",Integer,Primary Key,"1,2,3...",Address Identification Number,,
9,0,"AddressTable -
AddressType",Integer,,"0,1","0 = Person or Family,
1 = Repository",,
10,0,"AddressTable -
Name",Text,idxAddressName,User Defined,"Name, from Edit Address pane or Edit Repository pane. ",,
11,0,"AddressTable -
Street1",Text,,User Defined,"Street address [first line], from Edit Address pane or Edit Repository pane. ",,
12,0,"AddressTable -
Street2",Text,,User Defined,"Street address [second line], from Edit Address pane or Edit Repository pane. ",,
13,0,"AddressTable -
City",Text,,User Defined,"City, from Edit Address pane or Edit Repository pane. ",,
14,0,"AddressTable -
State",Text,,User Defined,"State, from Edit Address pane or Edit Repository pane. ",,
15,0,"AddressTable -
Zip",Text,,User Defined,"Postal Code, from Edit Address pane or Edit Repository pane. ",,
16,0,"AddressTable -
Country",Text,,User Defined,"Country, from Edit Address pane or Edit Repository pane. ",,
17,0,"AddressTable -
Phone1",Text,,User Defined,"Phone, from Edit Address pane or Edit Repository pane. ",,
18,0,"AddressTable -
Phone2",Text,,User Defined,"Cell phone, from Edit Address pane or Edit Repository pane. ",,
19,0,"AddressTable -
Fax",Text,,User Defined,"Fax, from Edit Address pane or Edit Repository pane. ",,
20,0,"AddressTable -
Email",Text,,User Defined,"Email, from Edit Address pane or Edit Repository pane. ",,
21,0,"AddressTable -
URL",Text,,User Defined,"Website, from Edit Address pane or Edit Repository pane. ",,
22,0,"AddressTable -
Latitude",Integer,,User Defined,Not implemented,,
23,0,"AddressTable -
Longitude",Integer,,User Defined,Not implemented,,
24,0,"AddressTable -
Note",Text,,User Defined,"Note, from Edit Address pane or Edit Repository pane. 
User Interface supports line breaks and formatting tags.",,
25,0,"AddressTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
26,1,"AncestryTable -
LinkID",Integer,Primary Key,"1,2,3...",LinkID Identification Number,,
27,1,"AncestryTable -
LinkType",Integer,,"0, 4, 11","0 = Person, 
4 = Citation, 
11 = Media",,
28,1,"AncestryTable -
rmID",Integer,"Foreign Key,
idxLinkAncestryRmID","1,2,3...","Link based on LinkType:
0 = PersonTable.PersonID, 
4 = CitationTable.CitationID, 
11 = MultiMediaTable.MediaID",,
29,1,"AncestryTable -
anID",Text,idxLinkAncestryanID,Formatted string,"Person = [d]{12}:[d]{4}:[d]{9} - e.g.: 121212121212:1030:123456789,
Citation, origin RM = [d]:9000:[d] (length varies),
Citation, origin Ancestry = [d]:[d] 
Media = Ancestry assigned ID (matches filename for media downloaded from Ancestry)",See Change History Tab,Y
30,1,"AncestryTable -
Modified",Integer,,"0, 1","For LinkType=0 (Person):
0 = No modification detected or 'Mark as not changed' button has been selected in Treeshare,
1 = Change identified in RM db or in Ancestry via Treeshare notification. Person’s status appears as changed in Treeshare.",,
31,1,"AncestryTable -
anVersion",Text,,Null or Hex String,"Hex code where LinkType=0 (Person), 
Otherwise NULL",,
32,1,"AncestryTable -
anDate",Float,,0.0,,,
33,1,"AncestryTable -
Status",Integer,,0,,,
